"","image1","image2","score"
"1",NA,NA,NA
"2","s01d1.png","s01d10.png","36.9392076203049"
"3","s01d1.png","s01d2.png","48.099209951137"
"4","s01d1.png","s01d3.png","23.7283303579756"
"5","s01d1.png","s01d4.png","50.5538345667879"
"6","s01d1.png","s01d5.png","29.0376626564535"
"7","s01d1.png","s01d6.png","23.4800410850769"
"8","s01d1.png","s01d7.png","19.3213530278061"
"9","s01d1.png","s01d8.png","43.2278802754322"
"10","s01d1.png","s01d9.png","17.922806265662"
"11","s01d1.png","s02d1.png","52.3835201256504"
"12","s01d1.png","s02d11.png","26.243646027858"
"13","s01d1.png","s02d2.png","27.2197540184755"
"14","s01d1.png","s02d3.png","56.5221432424717"
"15","s01d1.png","s02d4.png","61.7316049594891"
"16","s01d1.png","s02d5.png","46.5498519897169"
"17","s01d1.png","s02d6.png","63.1079398190955"
"18","s01d1.png","s02d7.png","56.2168423026817"
"19","s01d1.png","s02d8.png","37.8729694566248"
"20","s01d1.png","s02d9.png","53.2270068011909"
"21","s01d1.png","s03d1.png","47.0498076092777"
"22","s01d1.png","s03d2.png","52.4855832377655"
"23","s01d1.png","s03d3.png","44.5406103839556"
"24","s01d1.png","s03d4.png","35.9307142038319"
"25","s01d1.png","s03d5.png","31.3982389385493"
"26","s01d1.png","s03d6.png","44.9511415893311"
"27","s01d1.png","s03d7.png","38.2096702204118"
"28","s01d1.png","s03d8.png","40.4605137895025"
"29","s01d1.png","s04d1.png","34.5757114630185"
"30","s01d1.png","s04d10.png","40.988551599409"
"31","s01d1.png","s04d2.png","51.316972320887"
"32","s01d1.png","s04d3.png","38.6260860133281"
"33","s01d1.png","s04d4.png","39.2403155062171"
"34","s01d1.png","s04d5.png","29.8773981233334"
"35","s01d1.png","s04d6.png","29.0643913761437"
"36","s01d1.png","s04d7.png","33.5491092093895"
"37","s01d1.png","s04d8.png","23.0565736562559"
"38","s01d1.png","s04d9.png","57.2521591642086"
"39","s01d1.png","s05d1.png","42.7464410305502"
"40","s01d1.png","s05d10.png","42.6246587940802"
"41","s01d1.png","s05d2.png","49.8723867270256"
"42","s01d1.png","s05d3.png","34.7828670797898"
"43","s01d1.png","s05d4.png","39.5248717797454"
"44","s01d1.png","s05d5.png","54.732595716092"
"45","s01d1.png","s05d6.png","35.574234912358"
"46","s01d1.png","s05d7.png","37.6408230721497"
"47","s01d1.png","s05d8.png","52.1786839763798"
"48","s01d1.png","s05d9.png","41.3124148932569"
"49","s01d1.png","s06d1.png","24.8899073794308"
"50","s01d1.png","s06d10.png","23.2913954519656"
"51","s01d1.png","s06d2.png","33.0464609049775"
"52","s01d1.png","s06d3.png","31.280838044409"
"53","s01d1.png","s06d4.png","20.7599811809295"
"54","s01d1.png","s06d5.png","50.4827831312717"
"55","s01d1.png","s06d6.png","31.7433991931247"
"56","s01d1.png","s06d7.png","21.06693843771"
"57","s01d1.png","s06d8.png","29.4792418572834"
"58","s01d1.png","s06d9.png","49.458032716443"
"59","s01d1.png","s07d11.png","25.4870927572082"
"60","s01d1.png","s07d2.png","33.0210886577272"
"61","s01d1.png","s07d20.png","24.4705099918744"
"62","s01d1.png","s07d21.png","36.4195725345328"
"63","s01d1.png","s07d3.png","32.2804132766757"
"64","s01d1.png","s07d4.png","43.6627483967275"
"65","s01d1.png","s07d5.png","23.7359704717743"
"66","s01d1.png","s08d1.png","34.20787648834"
"67","s01d1.png","s08d2.png","36.0509068162543"
"68","s01d1.png","s08d3.png","50.8136848940378"
"69","s01d1.png","s08d4.png","35.7889246973669"
"70","s01d1.png","s08d5.png","29.4277876534435"
